ctrlCol,lotNumber,itemCode,itemName,deliveryLeadtimeId,itemOption1,itemOption2,itemOption3
u,342523817,cc-set171,退職 お礼 お菓子 メッセージクッキー どうぶつたちのお礼セット(30枚入) お祝い プチギフト お,NULL,NULL,NULL,
u,342524264,cc-set100,産休 お菓子 あいさつ 動物メッセージクッキー30枚セット(箱入り)お礼 ギフト スイーツ工房フ,NULL,NULL,NULL,
u,342526520,cc-set170,退職 お菓子 メッセージクッキー どうぶつたちのお礼セット(15枚入) お祝い プチギフト ショー,NULL,NULL,NULL,
u,342526685,cc-set177,退職 お礼 ねこメッセージクッキー30枚セット(箱入り)転勤 ギフト・ショークッキー　個包装　個別包装,NULL,NULL,NULL,
u,345429978,cc-set102, 産休 お菓子 職場 あいさつに…Babyメッセージクッキー15枚セット(箱入り)お礼 ギフト　個別包装,NULL,NULL,NULL,
u,345429960,cc-set103, 産休 お菓子 職場 あいさつに…Babyメッセージクッキー30枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345429983,cc-set108, 転勤 退職 お菓子 あいさつに 同僚 後輩へ メッセージクッキー15枚セット(箱入り)ギフト お礼個別包装,NULL,NULL,NULL,
u,345429982,cc-set109,退職 お菓子 お礼 同僚 後輩へメッセージクッキー30枚セット(箱入り) ギフト お世話になりました　個別包装,NULL,NULL,NULL,
u,345429962,cc-set11,両親に送るメッセージクッキー15枚セット(箱入り)お礼・プチギフト個別包装,NULL,NULL,NULL,
u,345429985,cc-set111, [内祝いセット・ピンク]出産内祝いに送るメッセージクッキーお得な15枚セット(箱入り)お礼・個別包装,NULL,NULL,NULL,
u,345429984,cc-set112, [内祝いセット・ピンク]出産内祝いに送るメッセージクッキーお得な30枚セット(箱入り)お礼・個別包装,NULL,NULL,NULL,
u,345429987,cc-set114, [内祝いセット・水色]出産内祝いに送るメッセージクッキーお得な15枚セット(箱入り)お礼　個別包装,NULL,NULL,NULL,
u,345429988,cc-set115, [内祝いセット・水色]出産内祝いに送るメッセージクッキーお得な30枚セット(箱入り)お礼個別包装,NULL,NULL,NULL,
u,345429993,cc-set118,結婚内祝いに送るメッセージクッキー 15枚セット(箱入り)お祝い・ギフト・お返し個別包装,NULL,NULL,NULL,
u,345429992,cc-set119,結婚内祝いに送るメッセージクッキー 30枚セット(箱入り)お祝い・ギフト・お返し個別包装,NULL,NULL,NULL,
u,345429995,cc-set12,結婚内祝いに送るメッセージクッキー 30枚セット(箱入り)お祝い・ギフト・お返し個別包装,NULL,NULL,NULL,
u,345429994,cc-set121,Girl&Boyセット メッセージクッキー 15枚セット(箱入り)お祝い・ギフト・お返し個別包装,NULL,NULL,NULL,
