ctrlCol,itemCode,stockSegment,stockCount
u,chocola-locabo,1,20
u,chocola-locabo-2,1,10
u,chocola-locabo-3,1,5
u,chocola-locabo-4,1,5
u,chocola-locabo-5,1,5
u,gen-001,1,40
u,gen-002,1,40
u,gen-003,1,40
u,gen-004,1,40
u,gen-005,1,40
u,gen-006,1,40
u,hw10-seta,1,300
u,hw10-setb,1,300
u,hw10-setc,1,300
u,hw10-setd,1,300
u,hw5-seta,1,300
u,hw5-setb,1,300
u,hw5-setc,1,300
u,hw5-setcd,1,300
u,kumazu_04set,1,50
u,locabo-chocolate-roll-h,1,20
u,locabo-chocolte-roll,1,20
u,locabo-chocolte-roll2,1,10
u,locabo-chocolte-roll3,1,5
u,locabo-strawberry-roll,1,100
u,locabo-strawberry-roll2,1,20
u,locabo-strawberry-roll3,1,10
u,nrc-locabo4,1,20
u,pc-005-c5,1,5
u,pc-005-c6,1,5
u,pc-005-n5,1,5
u,pc-005-n6,1,5
u,pc-061-c5,1,5
u,pc-061-c6,1,5
u,pc-061-n5,1,5
u,pc-061-n6,1,5
u,pc-086-c5,1,5
u,pc-086-c6,1,5
u,pc-086-n5,1,5
u,pc-086-n6,1,5
u,pc-087-c5,1,5
u,pc-087-c6,1,5
u,pc-087-n5,1,5
u,pc-087-n6,1,5
u,pc-088-c5,1,5
u,pc-088-c6,1,5
u,pc-088-n5,1,5
u,pc-088-n6,1,5
u,pc-089-c5,1,5
u,pc-089-c6,1,5
u,pc-089-n5,1,5
u,pc-089-n6,1,5
u,pc-090-c5,1,5
u,pc-090-c6,1,5
u,pc-090-n5,1,5
u,pc-090-n6,1,5
u,pc-091-c6,1,5
u,pc-091-n5,1,5
u,pc-091-n6,1,5
u,pc-304-c5,1,5
u,pc-304-c6,1,5
u,pc-304-n5,1,5
u,pc-304-n6,1,5
u,pc-305-c5,1,5
u,pc-305-c6,1,5
u,pc-305-n5,1,5
u,pc-305-n6,1,5
u,pc-308-c5,1,5
u,pc-308-c6,1,5
u,pc-308-n5,1,5
u,pc-308-n6,1,5
u,pc-312-c5,1,5
u,pc-312-c6,1,5
u,pc-312-n5,1,5
u,pc-312-n6,1,5
u,pc-650-c5,1,5
u,pc-650-c6,1,5
u,pc-650-n5,1,5
u,pc-650-n6,1,5
u,pc-652-c5,1,5
u,pc-652-c6,1,5
u,pc-652-n5,1,5
u,pc-652-n6,1,5
u,pc-653-c5,1,5
u,pc-653-c6,1,5
u,pc-653-n5,1,5
u,pc-653-n6,1,5
u,pc-654-c5,1,5
u,pc-654-c6,1,5
u,pc-654-n5,1,5
u,pc-654-n6,1,5
u,pm-set1,1,300
u,pm-set10,1,300
u,pm-set100,1,300
u,pm-set101,1,300
u,pm-set102,1,300
u,pm-set103,1,300
u,pm-set104,1,300
u,pm-set105,1,300
u,pm-set106,1,300
u,pm-set107,1,300
u,pm-set108,1,300
u,pm-set109,1,300
u,pm-set11,1,300
u,pm-set110,1,300
u,pm-set111,1,300
u,pm-set112,1,300
u,pm-set113,1,300
u,pm-set114,1,300
u,pm-set115,1,300
u,pm-set12,1,300
u,pm-set124,1,300
u,pm-set125,1,300
u,pm-set126,1,300
u,pm-set127,1,300
u,pm-set128,1,300
u,pm-set129,1,300
u,pm-set13,1,300
u,pm-set130,1,300
u,pm-set131,1,300
u,pm-set132,1,300
u,pm-set133,1,300
u,pm-set134,1,300
u,pm-set135,1,300
u,pm-set136,1,300
u,pm-set137,1,300
u,pm-set138,1,300
u,pm-set139,1,300
u,pm-set14,1,300
u,pm-set140,1,300
u,pm-set141,1,300
u,pm-set142,1,300
u,pm-set143,1,300
u,pm-set144,1,300
u,pm-set145,1,300
u,pm-set146,1,300
u,pm-set147,1,300
u,pm-set148,1,300
u,pm-set149,1,300
u,pm-set15,1,300
u,pm-set150,1,300
u,pm-set151,1,300
u,pm-set152,1,300
u,pm-set153,1,300
u,pm-set154,1,300
u,pm-set155,1,300
u,pm-set156,1,300
u,pm-set157,1,300
u,pm-set158,1,300
u,pm-set159,1,300
u,pm-set16,1,300
u,pm-set160,1,300
u,pm-set161,1,300
u,pm-set162,1,300
u,pm-set163,1,300
u,pm-set164,1,300
u,pm-set165,1,300
u,pm-set166,1,300
u,pm-set167,1,300
u,pm-set168,1,300
u,pm-set169,1,300
u,pm-set17,1,300
u,pm-set170,1,300
u,pm-set171,1,300
u,pm-set172,1,300
u,pm-set173,1,300
u,pm-set174,1,300
u,pm-set175,1,300
u,pm-set176,1,300
u,pm-set177,1,300
u,pm-set178,1,300
u,pm-set179,1,300
u,pm-set18,1,300
u,pm-set180,1,300
u,pm-set181,1,300
u,pm-set182,1,300
u,pm-set183,1,300
u,pm-set184,1,300
u,pm-set185,1,300
u,pm-set186,1,300
u,pm-set187,1,300
u,pm-set188,1,300
u,pm-set189,1,300
u,pm-set19,1,300
u,pm-set190,1,300
u,pm-set191,1,300
u,pm-set192,1,300
u,pm-set193,1,300
u,pm-set194,1,300
u,pm-set195,1,300
u,pm-set196,1,300
u,pm-set197,1,300
u,pm-set198,1,300
u,pm-set199,1,300
u,pm-set2,1,300
u,pm-set20,1,300
u,pm-set200,1,300
u,pm-set201,1,300
u,pm-set202,1,300
u,pm-set203,1,300
u,pm-set204,1,300
u,pm-set205,1,300
u,pm-set206,1,300
u,pm-set207,1,300
u,pm-set208,1,300
u,pm-set209,1,300
u,pm-set21,1,300
u,pm-set210,1,300
u,pm-set211,1,300
u,pm-set212,1,300
u,pm-set213,1,300
u,pm-set214,1,300
u,pm-set215,1,300
u,pm-set216,1,300
u,pm-set217,1,300
u,pm-set218,1,300
u,pm-set219,1,300
u,pm-set22,1,300
u,pm-set220,1,300
u,pm-set221,1,300
u,pm-set222,1,300
u,pm-set223,1,300
u,pm-set224,1,300
u,pm-set225,1,300
u,pm-set226,1,300
u,pm-set227,1,300
u,pm-set228,1,300
u,pm-set229,1,300
u,pm-set23,1,300
u,pm-set230,1,300
u,pm-set231,1,300
u,pm-set232,1,300
u,pm-set233,1,300
u,pm-set234,1,300
u,pm-set235,1,300
u,pm-set236,1,300
u,pm-set237,1,300
u,pm-set238,1,300
u,pm-set239,1,300
u,pm-set24,1,300
u,pm-set240,1,300
u,pm-set241,1,300
u,pm-set242,1,300
u,pm-set243,1,300
u,pm-set244,1,300
u,pm-set245,1,300
u,pm-set246,1,300
u,pm-set247,1,300
u,pm-set248,1,300
u,pm-set249,1,300
u,pm-set25,1,300
u,pm-set250,1,300
u,pm-set251,1,300
u,pm-set252,1,300
u,pm-set253,1,300
u,pm-set254,1,300
u,pm-set255,1,300
u,pm-set256,1,300
u,pm-set257,1,300
u,pm-set258,1,300
u,pm-set259,1,300
u,pm-set260,1,300
u,pm-set261,1,300
u,pm-set262,1,300
u,pm-set263,1,300
u,pm-set264,1,300
u,pm-set265,1,300
u,pm-set266,1,300
u,pm-set267,1,300
u,pm-set268,1,300
u,pm-set269,1,300
u,pm-set27,1,300
u,pm-set270,1,300
u,pm-set28,1,300
u,pm-set29,1,300
u,pm-set3,1,300
u,pm-set30,1,300
u,pm-set31,1,300
u,pm-set32,1,300
u,pm-set33,1,300
u,pm-set35,1,300
u,pm-set36,1,300
u,pm-set37,1,300
u,pm-set38,1,300
u,pm-set39,1,300
