ctrlCol,lotNumber,itemCode,itemName,deliveryLeadtimeId,itemOption1,itemOption2,itemOption3,itemOption4,itemOption5,itemOption6,itemOption7,itemOption8,itemOption9,itemOption10,itemOption11,itemOption12,itemOption13,itemOption14,itemOption15,itemOption16,itemOption17,itemOption18,itemOption19,itemOption20
U,342523817,cc-set171,退職 お礼 お菓子 メッセージクッキー どうぶつたちのお礼セット(30枚入) お祝い プチギフト お,NULL,あす着配送の注意事項について:確認しました(商品ページの記載バナーを確認しました）,NULL,,,,,,,,,,,,,,,,,,
U,342526520,cc-set170,退職 お菓子 メッセージクッキー どうぶつたちのお礼セット(15枚入) お祝い プチギフト ショー,NULL,あす着配送の注意事項について:確認しました(商品ページの記載バナーを確認しました）,NULL,,,,,,,,,,,,,,,,,,
U,342526630,locabo-strawberry-roll,送料無料 乳酸菌配合　低糖質　完熟いちごロールケーキ 女子会 ロカボ ギフト 贈り物 内祝い 　母の日,,,,,,,,,,,,,,,,,,,,,
U,342526685,cc-set177,退職 お礼 ねこメッセージクッキー30枚セット(箱入り)転勤 ギフト・ショークッキー　個包装　個別包装,,あす着配送の注意事項について:確認しました(商品ページの記載バナーを確認しました）,,,,,,,,,,,,,,,,,,,
U,345426379,10001845,インスタクッキー　パーティー　女子会　仮装,,,,,,,,,,,,,,,,,,,,,
U,345426400,cc-01,メッセージクッキーありがとう(ウサギとクマ)お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426382,cc-02,メッセージクッキーありがとう(男の子・女の子)プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426403,cc-03,メッセージクッキーThank　youお礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426424,cc-033,プリントクッキー（子どもの日）お祝い・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345426408,cc-04,メッセージクッキーおつかれさまお礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426412,cc-05,メッセージクッキーHappy Birthday プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426406,cc-06,メッセージクッキーおめでとう　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345426427,cc-065,プリントクッキー（子どもの日）お祝い・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345426410,cc-066,クッキー（子どもの日）猫とこいのぼり・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345426429,cc-067,クッキー（子どもの日）金太郎と可愛い動物達・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345426414,cc-068,クッキー（子どもの日）鯉のぼりに乗ったクマ・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345426431,cc-069,クッキー（子どもの日）可愛い男の子と鯉のぼり・ショークッキー,,,,,,,,,,,,,,,,,,,,,
