code,quantity
chocola-locabo,20
chocola-locabo-2,10
chocola-locabo-3,5
chocola-locabo-4,5
chocola-locabo-5,5
gen-001,40
gen-002,40
gen-003,40
gen-004,40
gen-005,40
gen-006,40
hw10-seta,300
hw10-setb,300
hw10-setc,300
hw10-setd,300
hw5-seta,300
hw5-setb,300
hw5-setc,300
hw5-setcd,300
kumazu-04set,50
locabo-chocolate-roll-h,20
locabo-chocolte-roll,20
locabo-chocolte-roll2,10
locabo-chocolte-roll3,5
locabo-strawberry-roll,100
locabo-strawberry-roll2,20
locabo-strawberry-roll3,10
pc-005-c5,5
pc-005-c6,5
pc-005-n5,5
pc-005-n6,5
pc-061-c5,5
pc-061-c6,5
pc-061-n5,5
pc-061-n6,5
pc-086-c5,5
pc-086-c6,5
pc-086-n5,5
pc-086-n6,5
pc-087-c5,5
pc-087-c6,5
pc-087-n5,5
pc-087-n6,5
pc-088-c5,5
pc-088-c6,5
pc-088-n5,5
pc-088-n6,5
pc-089-c5,5
pc-089-c6,5
pc-089-n5,5
pc-089-n6,5
pc-090-c5,5
pc-090-c6,5
pc-090-n5,5
pc-090-n6,5
pc-091-c6,5
pc-091-n5,5
pc-091-n6,5
pc-304-c5,5
pc-304-c6,5
pc-304-n5,5
pc-304-n6,5
pc-305-c5,5
pc-305-c6,5
pc-305-n5,5
pc-305-n6,5
pc-308-c5,5
pc-308-c6,5
pc-308-n5,5
pc-308-n6,5
pc-312-c5,5
pc-312-c6,5
pc-312-n5,5
pc-312-n6,5
pc-650-c5,5
pc-650-c6,5
pc-650-n5,5
pc-650-n6,5
pc-652-c5,5
pc-652-c6,5
pc-652-n5,5
pc-652-n6,5
pc-653-c5,5
pc-653-c6,5
pc-653-n5,5
pc-653-n6,5
pc-654-c5,5
pc-654-c6,5
pc-654-n5,5
pc-654-n6,5
pm-set1,300
pm-set10,300
pm-set100,300
pm-set101,300
pm-set102,300
pm-set103,300
pm-set104,300
pm-set105,300
pm-set106,300
pm-set107,300
pm-set108,300
pm-set109,300
pm-set11,300
pm-set110,300
pm-set111,300
pm-set112,300
pm-set113,300
pm-set114,300
pm-set115,300
pm-set12,300
pm-set124,300
pm-set125,300
pm-set126,300
pm-set127,300
pm-set128,300
pm-set129,300
pm-set13,300
pm-set130,300
pm-set131,300
pm-set132,300
pm-set133,300
pm-set134,300
pm-set135,300
pm-set136,300
pm-set137,300
pm-set138,300
pm-set139,300
pm-set14,300
pm-set140,300
pm-set141,300
pm-set142,300
pm-set143,300
pm-set144,300
pm-set145,300
pm-set146,300
pm-set147,300
pm-set148,300
pm-set149,300
pm-set15,300
pm-set150,300
pm-set151,300
pm-set152,300
pm-set153,300
pm-set154,300
pm-set155,300
pm-set156,300
pm-set157,300
pm-set158,300
pm-set159,300
pm-set16,300
pm-set160,300
pm-set161,300
pm-set162,300
pm-set163,300
pm-set164,300
pm-set165,300
pm-set166,300
pm-set167,300
pm-set168,300
pm-set169,300
pm-set17,300
pm-set170,300
pm-set171,300
pm-set172,300
pm-set173,300
pm-set174,300
pm-set175,300
pm-set176,300
pm-set177,300
pm-set178,300
pm-set179,300
pm-set18,300
pm-set180,300
pm-set181,300
pm-set182,300
pm-set183,300
pm-set184,300
pm-set185,300
pm-set186,300
pm-set187,300
pm-set188,300
pm-set189,300
pm-set19,300
pm-set190,300
pm-set191,300
pm-set192,300
pm-set193,300
pm-set194,300
pm-set195,300
pm-set196,300
pm-set197,300
pm-set198,300
