商品コード,販売状態,バリエーションコード,在庫数
souffle-chiboust,sale,souffle-chiboust,180
souffle-chiboust2,sale,souffle-chiboust2,30
souffle-chiboust3,sale,souffle-chiboust3,20
souffle-chiboust4,sale,souffle-chiboust4,10
souffle-rikyu,sale,souffle-rikyu,180
souffle-rikyu-2,sale,souffle-rikyu-2,30
souffle-rikyu-3,sale,souffle-rikyu-3,20
souffle-rikyu-4,sale,souffle-rikyu-4,5
souffle-chocolat,sale,souffle-chocolat,180
souffle-chocolat2,sale,souffle-chocolat2,30
souffle-chocolat3,sale,souffle-chocolat3,20
souffle-chocolat4,sale,souffle-chocolat4,10
tenku-pudding-assorted,sale,tenku-pudding-assorted,180
tenku-pudding-assorted2,sale,tenku-pudding-assorted2,20
tenku-pudding-assorted3,sale,tenku-pudding-assorted3,10
tenku-pudding,sale,tenku-pudding,180
tenku-pudding2,sale,tenku-pudding2,20
tenku-pudding3,sale,tenku-pudding3,10
tenku-pudding-hojun,sale,tenku-pudding-hojun,0
tenku-pudding-hojun2,sale,tenku-pudding-hojun2,0
tenku-pudding-hojun3,sale,tenku-pudding-hojun3,0
tenku-pudding-mange,sale,tenku-pudding-mange,0
tenku-pudding-mange2,sale,tenku-pudding-mange2,0
tenku-pudding-mange3,sale,tenku-pudding-mange3,0
tenku-pudding-syouka,sale,tenku-pudding-syouka,0
tenku-pudding-syouka2,sale,tenku-pudding-syouka2,0
tenku-pudding-syouka3,sale,tenku-pudding-syouka3,0
tenku-pudding-shio,sale,tenku-pudding-shio,10
tenku-pudding-shio2,sale,tenku-pudding-shio2,10
tenku-pudding-shio3,sale,tenku-pudding-shio3,10
tenku-pudding-raimei,sale,tenku-pudding-raimei,0
tenku-pudding-raimei2,sale,tenku-pudding-raimei2,0
tenku-pudding-raimei3,sale,tenku-pudding-raimei3,0
tenku-pudding-miyabishio,sale,tenku-pudding-miyabishio,50
tenku-pudding-miyabishio2,sale,tenku-pudding-miyabishio2,50
tenku-pudding-miyabishio3,sale,tenku-pudding-miyabishio3,50
tenku-pudding-espresso,sale,tenku-pudding-espresso,0
tenku-pudding-espresso2,sale,tenku-pudding-espresso2,0
tenku-pudding-espresso3,sale,tenku-pudding-espresso3,0
tenku-pudding-macchiato,sale,tenku-pudding-macchiato,0
tenku-pudding-macchiato2,sale,tenku-pudding-macchiato2,0
tenku-pudding-macchiato3,sale,tenku-pudding-macchiato3,0
tenku-pudding-macchiato3,sale,tenku-pudding-macchiato3-001,0
tenku-pudding-cafeset,sale,tenku-pudding-cafeset,10
tenku-pudding-cafeset2,sale,tenku-pudding-cafeset2,5
tenku-pudding-cafeset3,sale,tenku-pudding-cafeset3,5
tenku-jelly-nagomi,sale,tenku-jelly-nagomi,10
tenku-jelly-nagomi2,sale,tenku-jelly-nagomi2,5
tenku-jelly-nagomi3,sale,tenku-jelly-nagomi3,5
tenku-baked4,sale,tenku-baked4,0
tenku-baked4-2,sale,tenku-baked4-2,0
tenku-baked4-3,sale,tenku-baked4-3,0
tenku-baked5,sale,tenku-baked5,0
tenku-baked5-2,sale,tenku-baked5-2,0
tenku-baked5-3,sale,tenku-baked5-3,0
tenku-fondant3,sale,tenku-fondant3,50
tenku-fondant3-2,sale,tenku-fondant3-2,50
tenku-fondant3-3,sale,tenku-fondant3-3,50
tenku-fondant4,sale,tenku-fondant4,0
tartefromage,sale,tartefromage,100
tartefromage2,sale,tartefromage2,100
tartefromage-9,sale,tartefromage-9,100
tartefromage2-9,sale,tartefromage2-9,100
terrine-assorted,sale,terrine-assorted,0
tenku-strawberry-roll,sale,tenku-strawberry-roll,100
locabo-strawberry-roll,sale,locabo-strawberry-roll,100
locabo-strawberry-roll2,sale,locabo-strawberry-roll2,20
locabo-strawberry-roll3,sale,locabo-strawberry-roll3,10
locabo-chocolate-roll-h,sale,locabo-chocolate-roll-h,0
locabo-chocolte-roll,sale,locabo-chocolte-roll,0
locabo-chocolte-roll2,sale,locabo-chocolte-roll2,0
locabo-chocolte-roll3,sale,locabo-chocolte-roll3,0
rc-locabo,sale,rc-locabo,0
rc-locabo-2,sale,rc-locabo-2,0
rc-locabo-3,sale,rc-locabo-3,0
rc-locabo-4,sale,rc-locabo-4,0
rc-locabo-5,sale,rc-locabo-5,0
rc-locabo-6,sale,rc-locabo-6,0
bd-rc-locabo-p,sale,bd-rc-locabo-p,0
bd-rc-locabo,sale,bd-rc-locabo,0
bd-rc-locabo,sale,bd-rc-locabo-2,0
bd-rc-locabo,sale,bd-rc-locabo-3,0
bd-rc-locabo,sale,bd-rc-locabo-4,0
bd-rc-locabo,sale,bd-rc-locabo-5,0
bd-rc-locabo,sale,bd-rc-locabo-6,0
bd-rc-locabo,sale,bd-rc-locabo-7,0
